250,00000008
63,00000110
00000111,128
244,96
00000001,00000002
00000011,00000110
00000111,128
244,96
00000001,00000002
00000101,00000012
00000011,00000110
00000111,128
244,96
00000001,00000002
00000011,00000110
00000111,128
244,96
00000001,00000002
00000101,00000012
00000011,00000110
00000111,128
244,96
00000001,00000002
00000011,00000110
00000111,128
00000001,00000002
00000011,00000110
00000111,128
244,96
00000001,00000002
00000011,00000110
00000111,128
244,96
00000011,00000012
00000001,00000002
00000011,00000110
00000111,128
244,96
00000001,00000002
00000011,00000110
00000111,128
244,96
00000011,00000012
00000001,00000002
00000011,00000110
00000111,128
244,96
00000001,00000002
00000011,00000110
00000111,128
0,0
